LTER_site,local_site,location,depth,year,date,time,DOC
NWT,GL3,LAKE,0,1998,7/22/98,NA,NA
NWT,GL3,LAKE,3,1998,7/22/98,NA,NA
NWT,GL3,LAKE,7,1998,7/22/98,NA,NA
NWT,GL4,LAKE,0,1998,7/24/98,NA,NA
NWT,GL4,LAKE,3,1998,7/24/98,NA,NA
NWT,GL4,LAKE,10,1998,7/24/98,NA,NA
NWT,GL1,LAKE,0,1998,7/29/98,11:40,NA
NWT,GL3,LAKE,0,1998,7/29/98,10:05,NA
NWT,GL3,LAKE,3,1998,7/29/98,10:05,NA
NWT,GL3,LAKE,6,1998,7/29/98,10:05,NA
NWT,GL3,OUTLET,0,1998,7/29/98,10:45,NA
NWT,GL3,LAKE,0,1998,8/5/98,9:15,NA
NWT,GL3,LAKE,3,1998,8/5/98,9:15,NA
NWT,GL3,LAKE,6,1998,8/5/98,9:15,NA
NWT,GL4,LAKE,0,1998,8/5/98,11:05,NA
NWT,GL4,LAKE,3,1998,8/5/98,11:05,NA
NWT,GL4,LAKE,9,1998,8/5/98,11:05,NA
NWT,GL3,LAKE,0,1998,8/10/98,12:30,NA
NWT,GL3,LAKE,3,1998,8/10/98,12:30,NA
NWT,GL3,LAKE,6,1998,8/10/98,12:30,NA
NWT,GL4,LAKE,0,1998,8/10/98,10:45,NA
NWT,GL4,LAKE,3,1998,8/10/98,10:45,NA
NWT,GL4,LAKE,9,1998,8/10/98,10:45,NA
NWT,GL3,LAKE,0,1998,8/20/98,10:50,NA
NWT,GL3,LAKE,6,1998,8/20/98,10:50,NA
NWT,GL4,LAKE,0,1998,8/20/98,9:45,NA
NWT,GL4,LAKE,3,1998,8/20/98,9:45,NA
